step,snaive_daily,snaive_weekly,sarima,ml_true,ml_conditional,foundation_PLACEHOLDER
1,37.61904761904763,40.11904761904763,19.52571096869429,30.441829369298727,36.415344557950405,37.61904761904763
2,64.4047619047619,45.11904761904761,47.605221418772814,48.42110787160683,55.079706122871805,64.4047619047619
3,36.07142857142858,30.119047619047624,33.14173488688888,30.51106968995078,31.247110606693578,36.07142857142858
4,10.95238095238095,11.309523809523812,17.400290010811798,11.807861068567162,17.065234622497815,10.95238095238095
5,21.785714285714285,14.285714285714283,17.376476080187672,15.293431278594245,20.409854030145343,21.785714285714285
6,4.6428571428571415,4.2857142857142865,8.413105702622536,3.9629041114852575,7.322044200225107,4.6428571428571415
7,3.452380952380952,3.690476190476192,5.142745447939051,4.292574221199822,6.471100448048624,3.452380952380952
8,6.071428571428571,5.0,6.965175151147757,4.833858067167644,6.5040075497481675,6.071428571428571
9,5.476190476190477,4.523809523809524,4.467320738152794,5.267559838408703,7.021969186561398,5.476190476190477
10,4.642857142857143,2.9761904761904767,3.005263575778728,2.3225876863518455,6.222561499494659,4.642857142857143
11,11.428571428571429,9.642857142857142,9.845102565680964,9.791600094373994,10.678061840752411,11.428571428571429
12,12.857142857142858,14.523809523809522,9.376658979616783,8.479998932471352,17.653402195949486,12.857142857142858
13,32.023809523809526,34.88095238095238,30.379596736797197,20.77070380295678,26.89601402274403,32.023809523809526
14,52.73809523809524,52.02380952380952,42.008029284703674,30.1096677995819,59.74697613742205,52.73809523809524
15,67.26190476190477,56.42857142857143,62.752147561604424,66.53200514005967,85.1594892470201,67.26190476190477
16,83.21428571428571,70.35714285714286,76.60468523362738,70.07645202425483,78.57453038694975,83.21428571428571
17,104.8809523809524,113.0952380952381,91.00945854293666,95.10123085281334,95.68560384181582,104.8809523809524
18,81.90476190476191,72.97619047619047,54.742501317145994,80.00146611223367,62.03365810410978,81.90476190476191
19,106.90476190476191,88.80952380952382,68.86314507754446,79.95319406752094,67.83510010582698,106.90476190476191
20,72.14285714285714,50.476190476190474,39.09829904444697,50.406147324073665,43.72908234538355,72.14285714285714
21,72.97619047619047,50.595238095238095,43.567413173516336,55.048879081150744,50.27078310774819,72.97619047619047
22,93.0952380952381,93.69047619047619,63.164591345121615,69.34652242756106,76.90840996643587,93.0952380952381
23,108.45238095238096,90.83333333333333,81.90363548824936,80.87759391450865,85.74405318511462,108.45238095238096
24,64.40476190476191,83.21428571428571,58.046090022032445,71.08435977609462,76.74170278694393,64.40476190476191
