model,MAE,RMSE,MASE,Bias,beats_best_benchmark
sarima,37.266849931417525,64.53297169601657,0.6975704828568448,-4.688012703396165,True
ml_true,39.363941856345264,70.11733933113108,0.7368243889250841,-6.4243083545674855,True
ml_conditional,42.97565833743557,68.24025663754153,0.8044294270297994,4.29398154439116,True
snaive_weekly,43.457341269841265,81.40888006825948,0.813445692057847,-13.159722222222223,False
snaive_daily,48.30853174603175,85.56471876821426,0.9042515232223917,1.750992063492064,False
foundation_PLACEHOLDER,48.30853174603175,85.56471876821426,0.9042515232223917,1.750992063492064,False
mean,50.25809156123767,74.938304240935,0.9407438853124055,-3.286761541802694,False
naive,85.55059523809524,110.38970919802894,1.601358047131799,50.97718253968254,False
drift,85.8020893795971,110.67918975059628,1.6060655791621685,51.36792204027676,False
